Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,23,1,1419,1230,1742,1552,UA,183,NA,323,322,NA,110,109,SFO,HNL,2398,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,24,2,1850,1850,1936,1935,NW,347,NA,46,45,NA,1,0,MBS,DTW,98,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,916,916,1106,1040,DL,317,NA,170,144,NA,26,0,CVG,IAH,871,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,28,6,1550,1550,1630,1631,AA,236,NA,40,41,NA,-1,0,MKE,ORD,67,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,21,2,1400,1355,1608,1601,UA,578,NA,68,66,NA,7,5,ORD,CMH,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,12,7,1631,1630,1822,1814,NW,1643,NA,171,164,NA,8,1,DCA,MSP,931,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,3,5,2032,2025,2130,2120,DL,1434,NA,58,55,NA,10,7,ATL,CAE,191,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,2,8,3,1251,1251,1352,1354,AA,1484,NA,61,63,NA,-2,0,MAF,DFW,309,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,3,20,1,1554,1555,1649,1701,US,618,NA,55,66,NA,-12,-1,PHL,SYR,228,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,3,21,2,1647,1650,1853,1902,TW,17,NA,306,312,NA,-9,-3,IAD,LAX,2288,NA,NA,0,NA,0,NA,NA,NA,NA,NA
