age,overall_mobility_index,swallowing,handwriting,cutting_food,fine_motor_tasks,dressing,hygiene,turning_in_bed_and_adjusting,sit_to_stand,walking,climbing_starirs,n
34,19,4,3,1,3,1,2,1,2,2,0,1
41,28,4,3.5,3,3,2,3,3,2.5,2.5,1.5,2
46,30.5,4,3.5,2.5,3,2.5,3.5,3,3.5,3,2,2
48,29.6,3.6,3.8,3,3.2,3,2.8,3.2,2.4,2.4,2.2,5
49,22,3,2.666666667,2.666666667,2.666666667,2,1.333333333,2.666666667,1.666666667,2.333333333,1,3
50,22.57142857,3.428571429,3.285714286,2.285714286,2.285714286,2.142857143,2.142857143,2.428571429,1.571428571,1.571428571,1.428571429,7
51,19.5,3.5,2.5,2.5,2,2,2,2,1,2,0,2
52,10.66666667,2.75,1.75,1,0.75,1,1.25,0.5,0.5,1,0.25,3
53,20.5,3.5,2.25,1.75,2.5,2,2,2,1.75,1.75,1,4
54,24,2.857142857,3.428571429,2.428571429,2.857142857,1.857142857,2.571428571,2.714285714,2,2.285714286,1,7
55,20.83333333,3,3.5,2.666666667,2.333333333,2,2.333333333,1.5,0.833333333,1.166666667,1.5,6
56,24,3.5,3.25,2.25,2.5,2.375,2.625,2.125,1.875,2,1.5,8
57,25.9375,3.125,3.25,3.25,3.0625,2.875,2.75,2.875,1.75,1.9375,1.0625,16
58,25.41176471,3.352941176,3.352941176,2.882352941,2.941176471,2.529411765,2.647058824,2.705882353,1.764705882,2.058823529,1.176470588,17
59,24.14285714,3.142857143,3.428571429,3.071428571,2.857142857,2.642857143,2.571428571,2.357142857,1.357142857,1.928571429,0.785714286,14
60,24.94117647,3.294117647,3.235294118,2.588235294,2.529411765,2.764705882,2.705882353,2.647058824,2.058823529,2,1.117647059,17
61,23.57142857,3.380952381,3,2.714285714,3.047619048,2.428571429,2.428571429,2.619047619,1.333333333,1.619047619,1,21
62,23.66666667,3.2,3.28,2.8,2.64,2.44,2.333333333,2.458333333,1.791666667,2,0.958333333,24
63,24.11538462,2.961538462,3.153846154,3.307692308,2.769230769,2.653846154,2.653846154,2.461538462,1.423076923,1.730769231,1,26
64,24.81818182,3.181818182,3,3.045454545,2.954545455,2.909090909,2.681818182,2.727272727,1.409090909,1.954545455,0.954545455,22
65,23.47619048,3.238095238,3.285714286,2.761904762,2.619047619,2.380952381,2.142857143,2.476190476,1.428571429,1.666666667,1.476190476,21
66,25.22727273,3.318181818,3.5,2.863636364,2.818181818,2.636363636,2.454545455,2.772727273,1.681818182,2.045454545,1.136363636,22
