"","wage","lwage","educ","exper","tenure","numdep","expersq","tenursq","educsqr","race","metro","marital.st","gender","business.type","job.type","log.tenure","res","region"
"1",3.1,1.131402,11,2,0,2,4,0,121,"white","rural","single","female","other","other",0,-0.18266356805059,"west"
"2",3.24,1.175573,12,22,2,3,484,4,144,"white","rural","married","female","services","servocc",1.09861228866811,-0.199844571382465,"west"
"3",3,1.098612,11,2,0,2,4,0,121,"white","suburb","single","male","trade","other",0,-0.0269600403039939,"west"
"4",6,1.791759,8,44,28,0,1936,784,64,"white","rural","married","male","other","clerocc",3.36729582998647,-0.178728769034444,"west"
"5",5.3,1.667707,12,7,2,1,49,4,144,"white","suburb","married","male","other","other",1.09861228866811,-0.0867607656688024,"west"
"6",8.75,2.169054,16,9,8,0,81,64,256,"white","rural","married","male","profserv","profocc",2.19722457733622,-0.230598615261878,"west"
"7",11.25,2.420368,18,15,7,0,225,49,324,"white","rural","single","male","trade","profocc",2.07944154167984,0.0210365079600122,"west"
"8",5,1.609438,12,5,3,0,25,9,144,"white","rural","single","female","other","profocc",1.38629436111989,-0.197515753622105,"west"
"9",3.6,1.280934,12,26,4,2,676,16,144,"white","rural","single","female","trade","profocc",1.6094379124341,-0.384977177468962,"west"
"10",18.18,2.900322,17,22,21,0,484,441,289,"white","rural","married","male","other","profocc",3.09104245335832,0.10363223747111,"west"
"11",6.25,1.832582,16,8,2,0,64,4,256,"white","rural","single","female","trade","profocc",1.09861228866811,0.0454196608767163,"west"
"12",8.13,2.095561,13,3,0,0,9,0,169,"white","rural","single","female","profserv","clerocc",0,0.678024178025197,"west"
"13",8.77,2.171337,12,15,0,2,225,0,144,"white","rural","married","male","other","other",0,0.286863215025447,"west"
"14",5.5,1.704748,12,18,3,0,324,9,144,"white","rural","single","male","other","other",1.38629436111989,-0.331871188132651,"west"
"15",22.2,3.100092,12,31,15,1,961,225,144,"white","rural","married","male","other","profocc",2.77258872223978,0.718723522864195,"west"
"16",17.33,2.852439,16,14,0,1,196,0,256,"white","rural","married","male","profserv","profocc",0,0.615335106065063,"west"
"17",7.5,2.014903,12,10,0,0,100,0,144,"white","rural","married","female","other","clerocc",0,0.351435298310935,"west"
"18",10.63,2.36368,13,16,10,0,256,100,169,"white","rural","single","female","profserv","profocc",2.39789527279837,0.366808620732191,"west"
"19",3.6,1.280934,12,13,0,3,169,0,144,"white","rural","married","female","other","other",0,-0.299523908341791,"west"
"20",4.5,1.504077,12,36,6,0,1296,36,144,"white","rural","married","female","profserv","servocc",1.94591014905531,-0.120692008228739,"west"
"21",6.88,1.928619,12,11,4,0,121,16,144,"white","rural","single","female","profserv","profocc",1.6094379124341,0.113607436445929,"west"
"22",8.48,2.13771,12,29,13,3,841,169,144,"white","rural","married","male","other","other",2.63905732961526,0.00617594557097081,"west"
"23",6.33,1.8453,16,9,9,0,81,81,256,"white","rural","single","female","other","profocc",2.30258509299405,-0.372535005153978,"west"
"25",6,1.791759,11,37,8,0,1369,64,121,"nonwhite","rural","single","female","services","other",2.19722457733622,0.390439113068438,"west"
"26",9.56,2.257588,16,3,3,1,9,9,256,"nonwhite","rural","married","male","ndurman","profocc",1.38629436111989,0.0964520846291085,"west"
"27",7.78,2.051556,16,11,10,1,121,100,256,"white","rural","married","male","trcommpu","other",2.39789527279837,-0.156996634772432,"west"
"28",12.5,2.525729,16,31,0,0,961,0,256,"white","rural","married","male","other","profocc",0,0.127052572096275,"west"
"29",12.5,2.525729,15,30,0,2,900,0,225,"white","rural","married","male","other","profocc",0,0.241686431868577,"west"
"30",3.25,1.178655,8,9,1,2,81,1,64,"white","rural","married","female","other","other",0.693147180559945,-0.296519920134802,"west"
"31",13,2.564949,14,23,5,2,529,25,196,"white","rural","married","male","profserv","profocc",1.79175946922805,0.274098873953832,"west"
"32",4.5,1.504077,14,2,5,2,4,25,196,"white","rural","single","female","trade","other",1.79175946922805,0.167216032909984,"west"
