,id,actor_name,character,film_name,year
387,387,Hasannudin None,Hasan,Cahaya,2012
388,388,Inggrid Amelia,Cahaya's Friend #1,Cahaya,2012
389,389,Inneke Sepiaherawati,Cahaya,Cahaya,2012
390,390,Noaldi?Pristian,Glue Boy #1,Cahaya,2012
391,391,Wisnu?Irawan,Glue Boy #2,Cahaya,2012
392,392,Kokom?Komalasari,Cahaya's Friend #2,Cahaya,2012
393,393,Sumini Sriwinarti?Rahmawati,Hasan's Mother,Cahaya,2012
394,394,Dana Block,,Once Every Day,2012
395,395,Abby Marianetti,,Once Every Day,2012
396,396,James Franco,Jerry,Child of God,2013
397,397,Tim Blake Nelson,Sheriff Fate,Child of God,2013
398,398,Jim Parrack,Deputy Cotton,Child of God,2013
399,399,Fallon Goodson,Girly,Child of God,2013
400,400,Scott Haze,Lester Ballard,Child of God,2013
401,401,Jeremy Ambler,Boy With The Rifle,Child of God,2013
402,402,Vince Jolivette,Ernest,Child of God,2013
403,403,Brian Lally,John Greer,Child of God,2013
404,404,Nina Ljeti,Victim #1,Child of God,2013
405,405,Coby Batty,Hunter,Child of God,2013
406,406,Anna Kooris,Screaming lady,Child of God,2013
407,407,Terrance Huff,The Pitchman,Child of God,2013
408,408,Michael Holstine,Farmer,Child of God,2013
409,409,Elena McGhee,Lady In White,Child of God,2013
410,410,John Holt,Preacher,Child of God,2013
449,449,Ewan McGregor,Chip Lambert,The Corrections,2012
450,450,Maggie Gyllenhaal,Denise Lambert,The Corrections,2012
451,451,Rhys Ifans,,The Corrections,2012
452,452,Chris Cooper,Alfred Lambert,The Corrections,2012
453,453,Greta Gerwig,,The Corrections,2012
454,454,Dianne Wiest,Enid Lambert,The Corrections,2012
455,455,Daisy Tahan,Denise Lambert,The Corrections,2012
456,456,Lucas Hedges,Chip Lambert,The Corrections,2012
457,457,Frank Deal,Science Fair Principal,The Corrections,2012
458,458,Roy Pollack,NYC Airport Traveler,The Corrections,2012
692,692,Jurnee Smollett,Judith,Temptation: Confessions of a Marriage Counselor,2013
693,693,Kim Kardashian,Ava,Temptation: Confessions of a Marriage Counselor,2013
694,694,Lance Gross,Brice,Temptation: Confessions of a Marriage Counselor,2013
695,695,Brandy Norwood,Melinda,Temptation: Confessions of a Marriage Counselor,2013
696,696,Eric West,,Temptation: Confessions of a Marriage Counselor,2013
697,697,Vanessa L. Williams,Janice,Temptation: Confessions of a Marriage Counselor,2013
698,698,Nickolas Wolf,Church Attendant,Temptation: Confessions of a Marriage Counselor,2013
699,699,Andrea Moore,Lisa,Temptation: Confessions of a Marriage Counselor,2013
700,700,Robbie Jones,,Temptation: Confessions of a Marriage Counselor,2013
701,701,Ella Joyce,Sarah,Temptation: Confessions of a Marriage Counselor,2013
702,702,Sharon Oliphant,Receptionist,Temptation: Confessions of a Marriage Counselor,2013
703,703,Candice Coke,,Temptation: Confessions of a Marriage Counselor,2013
