Apples, Pears, Oranges, Grapes, Bananas
 1.448188816,  0.711027408, -0.606978459, -1.374668894, -0.404408939,
 0.496496885,  0.079691703,  0.749502734, 0.811677767, -0.57846117,
-0.288584985, -0.187592773,  0.167899291,  0.005357103,  2.473592795,
 0.220577308, -0.837719399, -1.046861852,  0.333100974,  0.247083662,
-0.115424050, -0.435948294, -1.082000064, -0.758764312,  0.596967095,
 0.311531234,  1.536425797, -0.076924650, -0.538522233,  1.477131903,
 0.082424517,  1.513753347,  1.264260038,  0.240462605, -0.731738665,
 1.710027535, -2.273712096,  0.899091835,  0.172672803, -0.122179994,
 0.113173893, -0.090768047, -0.219597438,  0.623044751, -0.118515900,
-2.684743476, -0.813029013,  0.317782427,  0.274209818, -0.441764274,

